"LBDVD2LC.Code.or.Value","LBDVD2LC.Value.Description","LBDVD2LC.Count","LBDVD2LC.Cumulative","LBDVD2LC.Skip.to.Item"
"0","At or above the detection limit",1197,1197,NA
"1","Below lower detection limit",5754,6951,NA
".","Missing",2356,9307,NA
