"SMD057.Code.or.Value","SMD057.Value.Description","SMD057.Count","SMD057.Cumulative","SMD057.Skip.to.Item"
"2 to 80","Range of Values",1004,1004,NA
"1","1 cigarette or less",109,1113,NA
"95","95 cigarettes or more",1,1114,NA
"777","Refused",0,1114,NA
"999","Don't know",8,1122,NA
".","Missing",6064,7186,NA
