"DRD350G.Code.or.Value","DRD350G.Value.Description","DRD350G.Count","DRD350G.Cumulative","DRD350G.Skip.to.Item"
"1","Yes",289,289,""
"2","No",3044,3333,"DRD350H"
".","Missing",5949,9282,""
