"URXATZ.Code.or.Value","URXATZ.Value.Description","URXATZ.Count","URXATZ.Cumulative","URXATZ.Skip.to.Item"
"0.3536 to 4.03","Range of Values",2588,2588,NA
".","Missing",106,2694,NA
