"DR1TPOTA.Code.or.Value","DR1TPOTA.Value.Description","DR1TPOTA.Count","DR1TPOTA.Cumulative","DR1TPOTA.Skip.to.Item"
"0 to 11724","Range of Values",9118,9118,NA
".","Missing",644,9762,NA
