"BIXS023K.Code.or.Value","BIXS023K.Value.Description","BIXS023K.Count","BIXS023K.Cumulative","BIXS023K.Skip.to.Item"
"219 to 1032.55","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
