"DR1TBCAR.Code.or.Value","DR1TBCAR.Value.Description","DR1TBCAR.Count","DR1TBCAR.Cumulative","DR1TBCAR.Skip.to.Item"
"0 to 116313","Range of Values",8327,8327,NA
".","Missing",1217,9544,NA
