"WBXA033.Code.or.Value","WBXA033.Value.Description","WBXA033.Count","WBXA033.Cumulative","WBXA033.Skip.to.Item"
"-3.3234 to 0.9998","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
