"HIQ011.Code.or.Value","HIQ011.Value.Description","HIQ011.Count","HIQ011.Cumulative","HIQ011.Skip.to.Item"
"1","Yes",8033,8033,""
"2","No",1703,9736,"HIQ065"
"7","Refused",4,9740,"HIQ065"
"9","Don't know",16,9756,"HIQ065"
".","Missing",0,9756,""
