"PAXTSM.Code.or.Value","PAXTSM.Value.Description","PAXTSM.Count","PAXTSM.Cumulative","PAXTSM.Skip.to.Item"
"3 to 60","Range of Values",88223479,88223479,NA
".","Missing",0,88223479,NA
