"OCQ310c.Code.or.Value","OCQ310c.Value.Description","OCQ310c.Count","OCQ310c.Cumulative","OCQ310c.Skip.to.Item"
"1","Yes",906,906,NA
"2","No",217,1123,NA
"7","Refused",0,1123,NA
"9","Don't know",0,1123,NA
".","Missing",6172,7295,NA
