"LBXRST.Code.or.Value","LBXRST.Value.Description","LBXRST.Count","LBXRST.Cumulative","LBXRST.Skip.to.Item"
"0.5 to 29.8","Range of Values",1073,1073,NA
"0.35","Fill Value of Limit of Detection",7033,8106,NA
".","Missing",1156,9262,NA
