"RFXC081.Code.or.Value","RFXC081.Value.Description","RFXC081.Count","RFXC081.Cumulative","RFXC081.Skip.to.Item"
"-7.428 to 5.163","Range of Values",33695,33695,NA
".","Missing",26,33721,NA
