"LBXVME.Code.or.Value","LBXVME.Value.Description","LBXVME.Count","LBXVME.Cumulative","LBXVME.Skip.to.Item"
"0.9899 to 600","Range of Values",2964,2964,NA
".","Missing",451,3415,NA
