"OSQ040ba.Code.or.Value","OSQ040ba.Value.Description","OSQ040ba.Count","OSQ040ba.Cumulative","OSQ040ba.Skip.to.Item"
"1","Under 50 years old, or",435,435,NA
"2","50 years old or older?",93,528,NA
"7","Refused",0,528,NA
"9","Don't know",0,528,NA
".","Missing",4883,5411,NA
