"BAXPFC21.Code.or.Value","BAXPFC21.Value.Description","BAXPFC21.Count","BAXPFC21.Cumulative","BAXPFC21.Skip.to.Item"
"1","Pass",2403,2403,"BAXPFC31"
"2","Dnp(did not pass)",153,2556,""
".","Missing",628,3184,""
