"WBXP098.Code.or.Value","WBXP098.Value.Description","WBXP098.Count","WBXP098.Cumulative","WBXP098.Skip.to.Item"
"-170.3515 to 159.2542","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
