"LBDT4FSI.Code.or.Value","LBDT4FSI.Value.Description","LBDT4FSI.Count","LBDT4FSI.Cumulative","LBDT4FSI.Skip.to.Item"
"2.3 to 32.8","Range of Values",2366,2366,NA
".","Missing",178,2544,NA
