"OHAROCDE.Code.or.Value","OHAROCDE.Value.Description","OHAROCDE.Count","OHAROCDE.Cumulative","OHAROCDE.Skip.to.Item"
"1","Yes",96,96,NA
"2","No",2,98,NA
".","Missing",9067,9165,NA
