"DRD370JQ.Code.or.Value","DRD370JQ.Value.Description","DRD370JQ.Count","DRD370JQ.Cumulative","DRD370JQ.Skip.to.Item"
"1 to 4","Range of Values",13,13,NA
".","Missing",10240,10253,NA
