"RFXT117.Code.or.Value","RFXT117.Value.Description","RFXT117.Count","RFXT117.Cumulative","RFXT117.Skip.to.Item"
"1017 to 1026","Range of Values",51057,51057,NA
".","Missing",19,51076,NA
