"DSQIPHOS.Code.or.Value","DSQIPHOS.Value.Description","DSQIPHOS.Count","DSQIPHOS.Cumulative","DSQIPHOS.Skip.to.Item"
"0.02 to 1330","Range of Values",948,948,NA
".","Missing",8169,9117,NA
