"DR1TCOPP.Code.or.Value","DR1TCOPP.Value.Description","DR1TCOPP.Count","DR1TCOPP.Cumulative","DR1TCOPP.Skip.to.Item"
"0 to 18.571","Range of Values",8327,8327,NA
".","Missing",1217,9544,NA
