"DSQTSODI.Code.or.Value","DSQTSODI.Value.Description","DSQTSODI.Count","DSQTSODI.Cumulative","DSQTSODI.Skip.to.Item"
"0 to 460","Range of Values",683,683,NA
".","Missing",9854,10537,NA
