"DR1IS140.Code.or.Value","DR1IS140.Value.Description","DR1IS140.Count","DR1IS140.Cumulative","DR1IS140.Skip.to.Item"
"0 to 12.417","Range of Values",130698,130698,NA
".","Missing",696,131394,NA
