"LBCBR6.Code.or.Value","LBCBR6.Value.Description","LBCBR6.Count","LBCBR6.Cumulative","LBCBR6.Skip.to.Item"
"8.2 to 229.5","Range of Values",264,264,NA
".","Missing",0,264,NA
