"OPDDPED.Code.or.Value","OPDDPED.Value.Description","OPDDPED.Count","OPDDPED.Cumulative","OPDDPED.Skip.to.Item"
"0","No",2351,2351,NA
"1","Yes",4,2355,NA
".","Missing",579,2934,NA
