"AUXLR129.Code.or.Value","AUXLR129.Value.Description","AUXLR129.Count","AUXLR129.Cumulative","AUXLR129.Skip.to.Item"
"-54 to 63","Range of Values",1664,1664,NA
".","Missing",143,1807,NA
