"DS1ILYCO.Code.or.Value","DS1ILYCO.Value.Description","DS1ILYCO.Count","DS1ILYCO.Cumulative","DS1ILYCO.Skip.to.Item"
"75 to 15000","Range of Values",405,405,NA
".","Missing",5553,5958,NA
