"WBXA035.Code.or.Value","WBXA035.Value.Description","WBXA035.Count","WBXA035.Cumulative","WBXA035.Skip.to.Item"
"-7.1472 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
