"DR1IFF.Code.or.Value","DR1IFF.Value.Description","DR1IFF.Count","DR1IFF.Cumulative","DR1IFF.Skip.to.Item"
"0 to 1117","Range of Values",111710,111710,NA
".","Missing",973,112683,NA
