"LBXSUA.Code.or.Value","LBXSUA.Value.Description","LBXSUA.Count","LBXSUA.Cumulative","LBXSUA.Skip.to.Item"
"0.5 to 17.6","Range of Values",6433,6433,NA
".","Missing",547,6980,NA
