"DRD370CQ.Code.or.Value","DRD370CQ.Value.Description","DRD370CQ.Count","DRD370CQ.Cumulative","DRD370CQ.Skip.to.Item"
"1 to 14","Range of Values",118,118,NA
".","Missing",9695,9813,NA
