"LBXWBCSI.Code.or.Value","LBXWBCSI.Value.Description","LBXWBCSI.Count","LBXWBCSI.Cumulative","LBXWBCSI.Skip.to.Item"
"1.5 to 83.2","Range of Values",8266,8266,NA
".","Missing",1041,9307,NA
