"PFQ057.Code.or.Value","PFQ057.Value.Description","PFQ057.Count","PFQ057.Cumulative","PFQ057.Skip.to.Item"
"1","Yes",406,406,NA
"2","No",4570,4976,NA
"7","Refused",0,4976,NA
"9","Don't know",3,4979,NA
".","Missing",4843,9822,NA
