"CIQP14.Code.or.Value","CIQP14.Value.Description","CIQP14.Count","CIQP14.Cumulative","CIQP14.Skip.to.Item"
"1 to 400","Range of Values",105,105,NA
"900","900 +",2,107,NA
"7777","Refused",0,107,NA
"9999","Don't know",3,110,NA
".","Missing",818,928,NA
