"AUXR8KR.Code.or.Value","AUXR8KR.Value.Description","AUXR8KR.Count","AUXR8KR.Cumulative","AUXR8KR.Skip.to.Item"
"35 to 95","Range of Values",9,9,NA
"666","No response",2,11,NA
"888","Could not obtain",0,11,NA
".","Missing",1878,1889,NA
