"DR1INIAC.Code.or.Value","DR1INIAC.Value.Description","DR1INIAC.Count","DR1INIAC.Cumulative","DR1INIAC.Skip.to.Item"
"0 to 100.787","Range of Values",120433,120433,NA
".","Missing",1048,121481,NA
