"HUD080.Code.or.Value","HUD080.Value.Description","HUD080.Count","HUD080.Cumulative","HUD080.Skip.to.Item"
"1","1",706,706,NA
"2","2",126,832,NA
"3","3",55,887,NA
"4","4",15,902,NA
"5","5",9,911,NA
"6","6 times or more",16,927,NA
"77777","Refused",0,927,NA
"99999","Don't know",0,927,NA
".","Missing",9248,10175,NA
