"DBQ235C.Code.or.Value","DBQ235C.Value.Description","DBQ235C.Count","DBQ235C.Cumulative","DBQ235C.Skip.to.Item"
"0","Never",187,187,NA
"1","Rarely-less than once a week",520,707,NA
"2","Sometimes-once a week or more, but less than once a 
    day",1271,1978,NA
"3","Often-once a day or more",2412,4390,NA
"4","Varied",65,4455,NA
"7","Refused",0,4455,NA
"9","Don't know",11,4466,NA
".","Missing",5683,10149,NA
