"LBDIRNSI.Code.or.Value","LBDIRNSI.Value.Description","LBDIRNSI.Count","LBDIRNSI.Cumulative","LBDIRNSI.Skip.to.Item"
"1.25 to 51.55","Range of Values",2904,2904,NA
".","Missing",334,3238,NA
