"DS1TPROT.Code.or.Value","DS1TPROT.Value.Description","DS1TPROT.Count","DS1TPROT.Cumulative","DS1TPROT.Skip.to.Item"
"0.01 to 36","Range of Values",186,186,NA
".","Missing",9358,9544,NA
