"LBXTO3.Code.or.Value","LBXTO3.Value.Description","LBXTO3.Count","LBXTO3.Cumulative","LBXTO3.Skip.to.Item"
"8 to 512","Range of Values",13,13,NA
".","Missing",6341,6354,NA
