"DRD360.Code.or.Value","DRD360.Value.Description","DRD360.Count","DRD360.Cumulative","DRD360.Skip.to.Item"
"1","Yes",5951,5951,""
"2","No",3424,9375,"End of Section"
"7","Refused",10,9385,"End of Section"
"9","Don't know",29,9414,"End of Section"
".","Missing",839,10253,""
