"URXCCC.Code.or.Value","URXCCC.Value.Description","URXCCC.Count","URXCCC.Cumulative","URXCCC.Skip.to.Item"
"0.07 to 22.93","Range of Values",1951,1951,NA
".","Missing",174,2125,NA
