"BIXS028K.Code.or.Value","BIXS028K.Value.Description","BIXS028K.Count","BIXS028K.Cumulative","BIXS028K.Skip.to.Item"
"337.61 to 947.63","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
