"SMQ050U.Code.or.Value","SMQ050U.Value.Description","SMQ050U.Count","SMQ050U.Cumulative","SMQ050U.Skip.to.Item"
"1","Days",10,10,NA
"2","Weeks",9,19,NA
"3","Months",111,130,NA
"4","Years",1160,1290,NA
"7","Refused",0,1290,NA
"9","Don't know",0,1290,NA
".","Missing",3590,4880,NA
