"AUXRR147.Code.or.Value","AUXRR147.Value.Description","AUXRR147.Count","AUXRR147.Cumulative","AUXRR147.Skip.to.Item"
"-28 to 81","Range of Values",3836,3836,NA
".","Missing",664,4500,NA
