"MCQ160k.Code.or.Value","MCQ160k.Value.Description","MCQ160k.Count","MCQ160k.Cumulative","MCQ160k.Skip.to.Item"
"1","Yes",297,297,NA
"2","No",5253,5550,NA
"7","Refused",1,5551,NA
"9","Don't know",8,5559,NA
".","Missing",3805,9364,NA
