"WHD080S.Code.or.Value","WHD080S.Value.Description","WHD080S.Count","WHD080S.Cumulative","WHD080S.Skip.to.Item"
"45","Ate less sugar, candy, sweets",29,29,NA
".","Missing",6517,6546,NA
