"MCQ240T.Code.or.Value","MCQ240T.Value.Description","MCQ240T.Count","MCQ240T.Cumulative","MCQ240T.Skip.to.Item"
"64 to 77","Range of Values",2,2,NA
"80","80 years or older",0,2,NA
"77777","Refused",0,2,NA
"99999","Don't know",0,2,NA
".","Missing",9664,9666,NA
