"AUDTYL02.Code.or.Value","AUDTYL02.Value.Description","AUDTYL02.Count","AUDTYL02.Cumulative","AUDTYL02.Skip.to.Item"
"0 to 0.88","Range of Values",1672,1672,NA
".","Missing",135,1807,NA
