"URDDIZLC.Code.or.Value","URDDIZLC.Value.Description","URDDIZLC.Count","URDDIZLC.Cumulative","URDDIZLC.Skip.to.Item"
"0","detectable result",552,552,NA
"1","below detectable limit",1290,1842,NA
".","Missing",283,2125,NA
