"PAXSTS.Code.or.Value","PAXSTS.Value.Description","PAXSTS.Count","PAXSTS.Cumulative","PAXSTS.Skip.to.Item"
"1","Yes",6917,6917,NA
"2","No",904,7821,NA
".","Missing",0,7821,NA
