"LBDVBZLC.Code.or.Value","LBDVBZLC.Value.Description","LBDVBZLC.Count","LBDVBZLC.Cumulative","LBDVBZLC.Skip.to.Item"
"0","At or above detection limit",1441,1441,NA
"1","Below lower detection limit",1525,2966,NA
"2","Detectable result and exceeds the calibrated range of 
      assay",0,2966,NA
".","Missing",300,3266,NA
