"URXUUR.Code.or.Value","URXUUR.Value.Description","URXUUR.Count","URXUUR.Cumulative","URXUUR.Skip.to.Item"
"0.0012 to 1.412","Range of Values",2627,2627,NA
".","Missing",93,2720,NA
