"IMQ090.Code.or.Value","IMQ090.Value.Description","IMQ090.Count","IMQ090.Cumulative","IMQ090.Skip.to.Item"
"5 to 54","Range of Values",796,796,NA
"777","Refused",1,797,NA
"999","Don't know",80,877,NA
".","Missing",9298,10175,NA
