"RFXT046.Code.or.Value","RFXT046.Value.Description","RFXT046.Count","RFXT046.Cumulative","RFXT046.Skip.to.Item"
"389 to 398","Range of Values",33703,33703,NA
".","Missing",18,33721,NA
