"AADBDTIM.Code.or.Value","AADBDTIM.Value.Description","AADBDTIM.Count","AADBDTIM.Cumulative","AADBDTIM.Skip.to.Item"
"34 to 132","Range of Values",6935,6935,NA
".","Missing",2505,9440,NA
