"LBXH2RL.Code.or.Value","LBXH2RL.Value.Description","LBXH2RL.Count","LBXH2RL.Cumulative","LBXH2RL.Skip.to.Item"
"0 to 999.9","Range of Values",1751,1751,NA
".","Missing",296,2047,NA
