"BIXC012K.Code.or.Value","BIXC012K.Value.Description","BIXC012K.Count","BIXC012K.Cumulative","BIXC012K.Skip.to.Item"
"16.76 to 180.86","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
