"RFXC122.Code.or.Value","RFXC122.Value.Description","RFXC122.Count","RFXC122.Cumulative","RFXC122.Skip.to.Item"
"-3.747 to 5.504","Range of Values",33683,33683,NA
".","Missing",38,33721,NA
