"ACD011A.Code.or.Value","ACD011A.Value.Description","ACD011A.Count","ACD011A.Cumulative","ACD011A.Skip.to.Item"
"1","English",5230,5230,NA
"77","Refused",0,5230,NA
"99","Don't know",0,5230,NA
".","Missing",3191,8421,NA
