"DR2IS100.Code.or.Value","DR2IS100.Value.Description","DR2IS100.Count","DR2IS100.Cumulative","DR2IS100.Skip.to.Item"
"0 to 6.808","Range of Values",111494,111494,NA
".","Missing",607,112101,NA
